03000US6,30,East South Central Division,2010,18458497,12211626,2145200,3990597,3434868,1657885,983076,17.5668662,32.67867031,28.12785128,13.57628378,8.050328433,21.76048529,21.47917927,18458497,13493311,3752209,56580,218665,4694,12671,245569,674798,73.10081097,20.32781434,1.18463058,1.330384592,3.655758104,439844,50707,24811,5610,90810,30757,32259,65.18158027,7.514396901,3.676804021,0.831359903,42741,40818,24935,11913,24344,34207,41118,19.54633801,18.66691057,11.40328813,5.448059818,11.13301168,15.64356436,0.469,40281,145550,16236
03000US7,30,West South Central Division,2010,36484650,23086664,4244843,6494517,6690080,3787283,1869941,18.38655858,28.1310327,28.97811481,16.40463516,8.099658747,24.17253983,24.8571177,36484650,18911185,5078653,362173,1125625,28757,49951,685409,10242897,51.83326413,13.91997182,3.085201585,1.878622928,28.0745382,8895381,162095,61159,16282,578159,168231,361590,86.84438592,1.582511276,0.597086937,0.158958935,274558,182619,110443,25120,84816,271658,190234,24.39160466,16.22378679,9.811704609,2.231649084,7.535013881,24.13397002,0.469,46066,169349,19232
03000US8,30,Mountain Division,2010,22136659,14222218,1785634,3669008,4769707,2589955,1407914,12.55524279,25.79772016,33.5370123,18.2106265,9.899398251,27.22736925,29.01765525,22136659,14434305,730114,610615,599790,59303,24326,423962,5254244,65.20543592,3.298212255,2.709487462,1.915203193,23.73548782,4173575,101242,51533,8465,158217,98950,662262,79.43245498,1.92686141,0.980788102,0.161107859,66594,123006,154781,41719,63792,72679,87798,11.10288601,20.50817786,25.80586539,6.955601127,10.6357225,12.11740776,0.45,49366,166162,21315
03000US9,30,Pacific Division,2010,50010422,32595248,5537446,7117625,10138468,6254602,3547107,16.98850704,21.83638854,31.10412904,19.18869278,10.8822826,29.71126985,30.44761294,50010422,23610020,2492214,381241,6013278,320538,90770,1638870,15463491,47.21019951,4.983389262,12.02404971,3.27705693,30.92053692,12853210,283179,110154,15408,1353942,359274,488324,83.11971727,1.83127471,0.712348848,0.099641148,589315,1478535,1513821,514445,573019,710896,717602,9.80022876,24.58783712,25.17463852,8.555150785,9.529228484,11.82210435,0.465,56429,202792,23245
04000US01,40,Alabama,2010,4785298,3161521,564876,988205,915745,439863,252832,17.86722277,31.25726509,28.9653303,13.91301845,7.997163391,21.85017974,21.97695781,4785298,3206485,1256566,24291,52313,553,2095,60200,182795,67.00700771,26.25888712,1.093202555,1.258019877,3.819929292,127157,13655,2200,600,23433,8556,7194,69.5626248,7.470116798,1.203534014,0.328236549,12240,9812,4934,2137,7009,9591,7066,23.39762583,18.75633208,9.43169002,4.085026666,13.3981993,18.33387495,0.472,40474,150867,16156
04000US02,40,Alaska,2010,713985,450577,40376,114055,170323,83346,42477,8.960954509,25.31309854,37.80108616,18.49761528,9.42724551,29.68707382,26.29768125,713985,457264,22712,101346,37754,7102,1019,46083,40705,64.04392249,3.181019209,5.287786158,6.454337276,5.701100163,26838,5286,538,1548,973,2645,2877,65.93293207,12.98611964,1.32170495,3.802972608,674,2255,19800,2481,3935,262,9711,1.785241299,5.972877046,52.44477406,6.571489114,10.42273666,0.693966202,0.422,64576,200458,28087
04000US04,40,Arizona,2010,6413737,4146758,595351,1040197,1437175,691889,382146,14.357023,25.08458415,34.65779773,16.68505854,9.215536571,24.75872309,27.09831483,6413737,3703810,248863,260558,170843,11818,6202,102729,1908914,57.74808041,3.880155984,2.663704483,1.60170272,29.76289798,1725249,34808,12331,2693,39435,24774,69624,90.37856079,1.823445163,0.645969384,0.141074978,29882,42110,32393,8998,16685,23028,20943,17.49091271,24.64836136,18.9606832,5.266823926,9.76627664,13.47904216,0.455,46789,163561,20651
04000US05,40,Arkansas,2010,2921606,1919422,327424,664076,553904,252888,121130,17.05846864,34.59770702,28.85785408,13.17521629,6.310753967,19.11958207,19.88144001,2921606,2176442,462053,17049,32837,5023,3556,41972,182674,74.49471284,15.81503461,1.123936629,1.436607126,6.252520018,138281,5540,688,153,26873,3493,7646,75.69823839,3.032724964,0.376627216,0.083755762,5326,3432,4418,918,1405,5515,12226,16.21950848,10.45162469,13.45433505,2.795626884,4.278709992,16.79507872,0.458,38307,138731,16571
04000US06,40,California,2010,37349363,24097200,4650042,5012413,7183474,4610875,2640396,19.29702206,20.80081088,29.81040951,19.1344845,10.95727304,29.73190359,30.46988488,37349363,14948814,2154356,149096,4836727,133612,73493,963854,14089411,40.024281,5.768119794,12.94995848,2.580643745,37.72329665,11778396,196445,94334,11079,1294780,320826,393551,83.59750454,1.39427404,0.669538279,0.078633521,515133,1288070,1184835,278735,467165,602086,564939,10.65044606,26.63102548,24.49662757,5.762884695,9.658701018,12.44821136,0.471,57708,211907,23400
04000US08,40,Colorado,2010,5049071,3328045,343432,759326,1014057,779055,432175,10.31933162,22.81597755,30.47005074,23.40878804,12.98585205,36.2092447,36.58429247,5049071,3528477,189658,26890,131852,4313,6092,114089,1047700,69.88368751,3.75629497,2.611411089,2.259603796,20.7503519,811192,23192,5121,1869,34184,15857,156285,77.42598072,2.213610766,0.488784958,0.178390761,14006,22866,13154,9627,20822,27045,26276,10.62251615,17.34217153,9.976337105,7.301368201,15.79194855,20.51163426,0.457,54046,187442,22729
